Metabolite,Molecular Forumla,Charge,Name,KEGG ID,MetaCyc ID
c2m26dcoa,C31H46N7O17P3S,-4,"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA",C11946,
cala,C4H7N2O3,-1,N-Carbamoyl-beta-alanine,C02642,3-UREIDO-PROPIONATE
camp,C10H11N5O6P,-1,cAMP,C00575,CAMP
can-L,C4H10N2O3,0,L-Canaline,C08270,L-CANALINE
cansuc,C9H15N4O7,-1,,,CANAVANINOSUCCINATE
canv-L,C5H13N4O3,1,,,CANAVANINE
carbbiocarbcprot,C18H26N5O6R2S,-1,Carboxybiotin-carboxyl-carrier protein,C04419,
carbm,CH2NO2,-1,Carbamate,C01563,
carbo_met,,,,,
carbputr,C5H14N3O,1,N-Carbamoylputrescine,C00436,CPD-597
cbasp,C5H6N2O5,-2,N-Carbamoyl-L-aspartate,C00438,PROTEIN-C-TERMINAL-S-FARNESYL-L-CYSTEINE
cbi,C48H72CoN11O8,0,Cobinamide,C05774,
cbp,CH2NO5P,-2,Carbamoyl phosphate,C00169,CARBAMOYL-P
cbxnspmdn,C7H18N3O2,1,,,CPD-9995
cdiGMP,C20H22N10O14P2,-2,"3,5-Cyclic diGMP",C16463,C-DI-GMP
cdp,C9H12N3O11P2,-3,CDP,C00112,CDP
cdpdag_CB,C44.7H78.8N3O15P2,-2,CDP-diacylglycerol,C00269,
cdpglyc,C12H19N3O13P2,-2,CDPglycerol,C00513,CPD-606
cel,C6H10O5,0,Cellulose,C00760,CELLULOSE
celb,C12H22O11,0,Cellobiose,C00185,
celb[e],C12H22O11,0,Cellobiose,C00185,
celb6p,C12H21O14P,-2,cellobiose-6-phosphate,C04534,
cgly,C5H10N2O3S,0,Cys-Gly,C01419,
ch4s,CH4S,0,Methanethiol,C00409,CPD-7671
chitin,C8H13NO5,0,Chitin,C00461,
chlamph,C11H12N2O5L2,0,Chloramphenicol,C00918,CHLORAMPHENICOL-3-ACETATE
chlamph3ac,C13H14N2O6L2,0,Chloramphenicol 3-acetate,C03601,CHORISMATE
chol,C5H15NO,1,Choline,C00114,
chola,C24H50O4,1,Chenodeoxycholate,C02528,
cholate,C24H30O5,-1,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate",C00695,
chor,C10H8O6,-2,chorismate,C00251,CIS-ACONITATE
cit,C6H5O7,-3,Citrate,C00158,CIT
cit[e],C6H5O7,-3,Citrate,C00158,COPROPORPHYRINOGEN_III
citr-L,C6H13N3O3,0,L-Citrulline,C00327,L-CITRULLINE
clpn_CB,C74.4H139.6O17P2,-2,Cardiolipin,C05980,CHLORAMPHENICOL
cmethydmuc,C8H6O7,-2,5-Carboxymethyl-2-hydroxymuconate,C04186,CPD-784
cmp,C9H12N3O8P,-2,CMP,C00055,CMP
cmpacna,C20H29N4O16P,-2,CMP-N-acetylneuraminate,C00128,
cmpacnmt,C19H28N4O16R1P1,0,CMP-N-acylneuraminate,C01064,CPD-189
co1dam,C45H56CoN6O12,-5,"Cob(I)yrinate a,c diamide",C06505,CPD-694
co2,CO2,0,CO2,C00011,CARBON-DIOXIDE
co2[e],CO2,0,CO2,C00011,CARBON-MONOXIDE
co2dam,C45H56CoN6O12,-4,"Cob(II)yrinate a,c diamide",C06504,CPD-689
coa,C21H32N7O16P3S,-4,Coenzyme A,C00010,CO-A
cobalt2,Co,2,Co2+,C00175,CO+2
cobya,C45H52CoN4O14,-6,Cobyrinate,C05773,CPD-9049
codhpre6,C44H47CoN4O16,-7,cobalt-dihydro-precorrin 6,C11543,
copre2,C42H38N4O16Co,-8,cobalt-precorrin 2,C11538,
copre3,C43H40CoN4O16,-8,cobalt-precorrin 3,C11539,
copre4,C44H43CoN4O16,-7,cobalt-precorrin 4,C11540,
copre5,C45H45N4O16Co,-7,cobalt-precorrin 5,C11541,
copre6,C44H45N4O16Co,-7,cobalt-precorrin 6,C11542,
copre7,C45H50N4O16Co,-6,Cobalt-precorrin 7,C16244,CPD-9048
copre8,C45H52N4O14Co,-6,cobalt-precorrin 8,C11545,
coscl,C42H36N4O16Co,-8,Cobalt-sirohydrochlorin,C11538,
cpppg1,C36H40N4O8,-4,Coproporphyrinogen I,C05768,
cpppg3,C36H40N4O8,-4,Coproporphyrinogen III,C03263,CPD-1067
ctp,C9H12N3O14P3,-4,CTP,C00063,UTP
cys-L,C3H7NO2S,0,L-Cysteine,C00097,GLT
cyst-L,C7H14N2O4S,0,L-Cystathionine,C02291,
cytd,C9H13N3O5,0,Cytidine,C00475,CYTIDINE
dad-2,C10H13N5O3,0,Deoxyadenosine,C00559,DEOXYADENOSINE
dad-5,C10H13N5O3,0,5-Deoxyadenosine,C05198,CH33ADO
dadp,C10H12N5O9P2,-3,dADP,C00206,DADP
damp,C10H12N5O6P,-2,dAMP,C00360,
dann,C9H21N2O2,1,"7,8-Diaminononanoate",C01037,DIAMINONONANOATE
datp,C10H12N5O12P3,-4,dATP,C00131,DATP
db4p,C4H7O6P,-2,"3,4-dihydroxy-2-butanone 4-phosphate",C15556,DIHYDROXY-BUTANONE-P
dc2coa,C31H48N7O17P3S,-4,trans-Dec-2-enoyl-CoA,C05275,
dcamp,C14H14N5O11P,-4,"N6-(1,2-Dicarboxyethyl)-AMP",C03794,ADENYLOSUCC
dcdp,C9H12N3O10P2,-3,dCDP,C00705,DCDP
dcmp,C9H12N3O7P,-2,dCMP,C00239,DCMP
dcppp,C50H81O7P2,-3,,,2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE19
dctp,C9H12N3O13P3,-4,dCTP,C00458,DCTP
dcyt,C9H13N3O4,0,Deoxycytidine,C00881,DEOXYCYTIDINE
dd2coa,C33H52N7O17P3S,-4,2-trans-Dodecenoyl-CoA,C03221,
dehyddglucn,C6H9O6,1,5-Dehydro-4-deoxy-D-glucuronate,C04053,
demethphyquin,C30H44O2,0,"2-Phytyl-1,4-naphthoquinone",C13309,
deoxchlac,C24H41O4,1,"3alpha,12alpha-Dihydroxy-5beta-cholanate",C04483,
dgal6p,C6H11O9P,-2,D-Galactose 6-phosphate,C01113,CPD-1241
dgdcg_CB,C47.7H87.8O15,0,,,
dgdp,C10H12N5O10P2,-3,dGDP,C00361,DGDP
dgmp,C10H12N5O7P,-2,dGMP,C00362,
dgsn,C10H13N5O4,0,Deoxyguanosine,C00330,DEOXYGUANOSINE
dgtp,C10H12N5O13P3,-4,dGTP,C00286,DGTP
dha,C3H6O3,0,Dihydroxyacetone,C00184,DIHYDROXYACETONE
dhap,C3H5O6P,-2,Dihydroxyacetone phosphate,C00111,DIHYDROXY-ACETONE-PHOSPHATE
dhbpt,C9H13N5O3,0,Dihydrobiopterin,C00268,
dhf,C19H19N7O6,-2,"7,8-Dihydrofolate",C00415,DIHYDROFOLATE
dhna,C11H7O4,-1,"1,4-Dihydroxy-2-naphthoate",C03657,DIHYDROXYNAPHTHOATE
dhnacoa,C32H41N7O19P3S,-1,"1,4-Dihydroxy-2-naphthoyl-CoA",C15547,
dhnpt,C9H13N5O4,0,Dihydroneopterin,C04874,DIHYDRO-NEO-PTERIN
dhor-S,C5H5N2O4,-1,(S)-Dihydroorotate,C00337,DI-H-OROTATE
dhpmp,C9H12N5O7P,-2,Dihydroneopterin monophosphate,C05925,DIHYDRONEOPTERIN-P
dhpt,C14H13N6O3,-1,Dihydropteroate,C00921,7-8-DIHYDROPTEROATE
dhptd,C5H8O4,0,"4,5-dihydroxy-2,3-pentanedione",C11838,DIHYDROXYPENTANEDIONE
diacet,C4H6O2,0,Diacetyl,C00741,DIACETYL
didp,C10H11N4O10P2,-3,dIDP,C01344,
diketdglucn,C6H9O6,1,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate",C04349,CPD-343
dimboa,C9H8N1O5,-1,,,CPD-6366
dimboagluc,C15H18N1O10,-1,,,CPD-6562
din,C10H12N4O4,0,Deoxyinosine,C05512,DEOXYINOSINE
ditp,C10H11N4O13P3,-4,dITP,C01345,
dkdi,C6H12O5,4,"D-2,3-Diketo 4-deoxy-epi-inositol",C06891,
dketdeoinos,C6H11O5,3,"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione",C04287,
dkh,C6H12O6,2,2-Deoxy-5-keto-D-gluconic acid,C06892,
dkh6p,C6H10O9P,-1,2-Deoxy-5-keto-D-gluconic acid 6-phosphate,C06893,
dmbzid,C9H10N2,0,Dimethylbenzimidazole,C03114,DIMETHYLBENZIMIDAZOLE
dmlz,C13H18N4O6,0,"6,7-Dimethyl-8-(1-D-ribityl)lumazine",C04332,DIMETHYL-D-RIBITYL-LUMAZINE
dmpp,C5H9O7P2,-3,Dimethylallyl diphosphate,C00235,CPD-4211
dna_met,,,,,
dnad,C21H24N6O15P2,-2,Deamino-NAD+,C00857,DEAMIDO-NAD
dpcoa,C21H33N7O13P2S,-2,Dephospho-CoA,C00882,DEPHOSPHO-COA
drib,C5H10O4,0,Deoxyribose,C01801,
dscl,C42H41N4O16,-7,dihydrosirohydrochlorin,C02463,DIHYDROSIROHYDROCHLORIN
dtbt,C10H17N2O3,-1,Dethiobiotin,C01909,DETHIOBIOTIN
dtdp,C10H13N2O11P2,-3,dTDP,C00363,TDP
dtdp4d6dg,C16H22N2O15P2,-2,dTDP-4-dehydro-6-deoxy-D-glucose,C11907,DTDP-DEOH-DEOXY-GLUCOSE
dtdp4d6dm,C16H22N2O15P2,-2,dTDP-4-dehydro-6-deoxy-L-mannose,C00688,DTDP-DEOH-DEOXY-MANNOSE
dtdpglu,C16H24N2O16P2,-2,dTDPglucose,C00842,DTDP-D-GLUCOSE
dtdprmn,C16H24N2O15P2,-2,dTDP-L-rhamnose,C03319,DTDP-RHAMNOSE
dtmp,C10H13N2O8P,-2,dTMP,C00364,TMP
dttp,C10H13N2O14P3,-4,dTTP,C00459,TTP
dudp,C9H11N2O11P2,-3,dUDP,C01346,DUDP
dump,C9H11N2O8P,-2,dUMP,C00365,DUMP
duri,C9H12N2O5,0,Deoxyuridine,C00526,DEOXYURIDINE
dutp,C9H11N2O14P3,-4,dUTP,C00460,DUTP
dxyl5p,C5H9O7P,-2,1-deoxy-D-xylulose 5-phosphate,C11437,DEOXYXYLULOSE-5P
e2maa,C7H12O3,0,,,ETHYL-2-METHYLACETOACETATE
e4hglu,C5H8NO5,-1,L-erythro-4-Hydroxyglutamate,C05947,
e4p,C4H7O7P,-2,D-Erythrose 4-phosphate,C00279,ERYTHROSE-4P
eig3p,C6H9N2O6P,-2,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,C04666,D-ERYTHRO-IMIDAZOLE-GLYCEROL-P
emhbut,C7H14O3,0,,,ETHYL-2R-METHYL-3S-HYDROXYBUTANOATE
epm,C12H22O11,0,Epimelibiose,C05400,
etha,C2H8NO,1,Ethanolamine,C00189,ETHANOL-AMINE
etoh,C2H6O,0,Ethanol,C00469,
etoh[e],C2H6O,0,Ethanol,C00469,ETOH
f1p,C6H11O9P,-2,D-Fructose 1-phosphate,C01094,
f6p,C6H11O9P,-2,D-Fructose 6-phosphate,C00085,FRUCTOSE-6P
fad,C27H31N9O15P2,-2,FAD,C00016,FAD
fadh2,C27H33N9O15P2,-2,FADH2,C01352,FADH2
fald,CH2O,0,Formaldehyde,C00067,FORMALDEHYDE
faptp,C10H15N5O15P3,-3,Formamidopyrimidine nucleoside triphosphate,C05922,
fc1p,C6H11O8P,-2,L-Fuculose 1-phosphate,C01099,FUCULOSE-1P
fcl-L,C6H12O5,0,L-Fuculose,C01721,RHAMNULOSE
fdp,C6H10O12P2,-4,"D-Fructose 1,6-bisphosphate",C00354,FRUCTOSE-16-DIPHOSPHATE
fdxox,X,0,Oxidized ferredoxin,C00139,
fdxrd,X,-2,Reduced ferredoxin,C00138,
fe2,Fe,2,Fe2+,C00023,FE+2
fgam,C8H13N2O9P,-2,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,C04376,5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE
fldox,XX,0,Oxidized flavodoxin,C02869,Oxidized-flavodoxins
fldrd,XXH2,0,Reduced flavodoxin,C02745,Reduced-flavodoxins
fluroureid,C4H6FN2O3,-1,alpha-Fluoro-beta-ureidopropionic acid,C16631,
fmet,C6H10N1O3S1,-1,N-Formyl-L-methionine,C03145,N-FORMYLMETHIONINE
fmn,C17H19N4O9P,-2,FMN,C00061,FMN
fmnh2,C17H21N4O9P,-2,Reduced FMN,C01847,FMNH2
fol,C19H18N7O6,-1,Folate,C00504,
for,CHO2,-1,Formate,C00058,FORMATE
for[e],CHO2,-1,Formate,C00058,FORMATE
fpram,C8H15N3O8P,-1,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,C04640,DIMETHYL-GLYCINE
fprica,C10H13N4O9P,-2,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,C04734,PHOSPHORIBOSYL-FORMIMINO-AICAR-P
frdp,C15H25O7P2,-3,Farnesyl diphosphate,C00448,FARNESYL-PP
fru,C6H12O6,0,D-Fructose,C00095,
fru[e],C6H12O6,0,D-Fructose,C00095,
fruur,C6H9O7,-1,D-Fructuronate,C00905,FRUCTURONATE
fuc-L,C6H12O5,0,6-Deoxy-L-galactose,C01019,L-FUCOSE
fum,C4H2O4,-2,Fumarate,C00122,SUC
g1p,C6H11O9P,-2,D-Glucose 1-phosphate,C00103,GLC-1-P
g3p,C3H5O6P,-2,Glyceraldehyde 3-phosphate,C00118,GAP
g3pc,C8H21NO6P,0,sn-glycero-3-Phosphocholine,C00670,L-1-GLYCERO-PHOSPHORYLCHOLINE
g3pe,C5H14NO6P,0,sn-glycero-3-Phosphoethanolamine,C01233,
g6p,C6H11O9P,-2,D-Glucose 6-phosphate,C00092,
gal,C6H12O6,0,D-Galactose,C00124,
gal[e],C6H12O6,0,D-Galactose,C00124,ALPHA-GLUCOSE
gal1p,C6H11O9P,-2,alpha-D-Galactose 1-phosphate,C00446,GALACTOSE-1P
galt1p,C6H13O9P,-2,Galactitol 1-phosphate,C06311,
galur,C6H9O7,-1,D-Galacturonate,C00333,D-GALACTURONATE
gam[e],C6H14NO5,1,D-Glucosamine,C00329,
gam1p,C6H13NO8P,-1,D-Glucosamine 1-phosphate,C06156,GLUCOSAMINE-1P
gam6p,C6H13NO8P,-1,D-Glucosamine 6-phosphate,C00352,D-GLUCOSAMINE-6-P
gar,C7H14N2O8P,-1,N1-(5-Phospho-D-ribosyl)glycinamide,C03838,ACETYL-GLU
gcald,C2H4O2,0,Glycolaldehyde,C00266,GLYCOLALDEHYDE
gchola,C26H43NO6,0,Glycocholate,C01921,
gdchola,C26H43NO5,0,Glycochenodeoxycholate,C05466,
gdp,C10H12N5O11P2,-3,GDP,C00035,GDP
gdpmann,C16H23N5O16P2,-2,GDP-D-mannose,C00096,GDP-MANNOSE
gdporham,C16H23N5O15P2,0,GDP-4-dehydro-6-deoxy-L-mannose,C05344,
gdprham,C16H26N5O15P2,1,GDP-6-deoxy-L-mannose,C05386,
gdptp,C10H11N5O20P5,-7,Guanosine 3-diphosphate 5-triphosphate,C04494,GDP-TP
gfdp,C25H41O7P2,-3,all-trans-Pentaprenyl diphosphate,C04217,ALL-TRANS-PENTAPRENYL-DIPHOSPHATE
ggdp,C20H33O7P2,-3,Geranylgeranyl diphosphate,C00353,GERANYLGERANYL-PP
ggl,C9H18O8,0,3-beta-D-Galactosyl-sn-glycerol,C05401,
glc-D,C6H12O6,0,D-Glucose,C00031,
glc-D[e],C6H12O6,0,D-Glucose,C00031,L-FUCULOSE
glcn,C6H11O7,-1,D-Gluconate,C00257,GLUCONATE
glcn[e],C6H11O7,-1,D-Gluconate,C00257,CPD-365
glcur,C6H9O7,-1,D-Glucuronate,C00191,GLUCURONATE
gln-L,C5H10N2O3,0,L-Glutamine,C00064,GLY
glu1sa,C5H9NO3,0,L-Glutamate 1-semialdehyde,C03741,GLUTAMATE-1-SEMIALDEHYDE
glu5p,C5H8NO7P,-2,L-Glutamate 5-phosphate,C03287,L-GLUTAMATE-5-P
glu5sa,C5H9NO3,0,L-Glutamate 5-semialdehyde,C01165,L-ORNITHINE
glucys,C8H13N2O5S,-1,gamma-L-Glutamyl-L-cysteine,C00669,
glu-D,C5H8NO4,-1,D-Glutamate,C00217,B-ALANINE
glu-L,C5H8NO4,-1,L-Glutamate,C00025,HIS
glutrna,C20H28N6O13PR(C5H8O6PR),0,L-Glutamyl-tRNA(Glu),C02987,
glx,C2HO3,-1,Glyoxylate,C00048,GLYOX
gly,C2H5NO2,0,Glycine,C00037,ILE
glyald,C3H6O3,0,D-Glyceraldehyde,C00577,GLYCERALD
glyb,C5H11NO2,0,Glycine betaine,C00719,BETAINE
glyb[e],C5H11NO2,0,Glycine betaine,C00719,BETAINE
glyc,C3H8O3,0,Glycerol,C00116,METHYL-GLYOXAL
glyc3p,C3H7O6P,-2,Glycerol 3-phosphate,C00093,GLYCEROL-3P
glyc3p[e],C3H7O6P,-2,Glycerol 3-phosphate,C00093,GLYCEROL-3P
glycdchol,C26H44NO5,1,Glycodeoxycholate,C05464,
glyclt,C2H3O3,-1,Glycolate,C00160,GLYCOLLATE
glyc-R,C3H5O4,-1,(R)-Glycerate,C00258,GLYCERATE
gmp,C10H12N5O8P,-2,GMP,C00144,GMP
grdp,C10H17O7P2,-3,Geranyl diphosphate,C00341,
gsn,C10H13N5O5,0,Guanosine,C00387,GUANOSINE
gthox,C20H30N6O12S2,-2,Oxidized glutathione,C00127,OXIDIZED-GLUTATHIONE
gthrd,C10H16N3O6S,-1,Reduced glutathione,C00051,GLUTATHIONE
gtp,C10H12N5O14P3,-4,GTP,C00044,CTP
gua,C5H5N5O,0,Guanine,C00242,GUANINE
h,H,1,H+,C00080,PROTON
h[e],H,1,H+,C00080,TRIMETHYLSULFONIUM
h2,H2,0,H2,C00282,HYDROGEN-MOLECULE
h2[e],H2,0,H2,C00282,HYDROGEN-MOLECULE
h2co3,H2CO3,0,Carbonic acid,C01353,H2CO3
h2mb4p,C5H9O8P2,-3,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,C11811,HYDROXY-METHYL-BUTENYL-DIP
h2o,H2O,0,H2O,C00001,WATER
h2o[e],H2O,0,H2O,C00001,XANTHOSINE
h2o2,H2O2,0,Hydrogen peroxide,C00027,HYDROGEN-PEROXIDE
h2s,H2S,0,Hydrogen sulfide,C00283,HS
hcit,C7H7O7,-3,"2-Hydroxybutane-1,2,4-tricarboxylate",C01251,HOMO-CIT
hcl,Cl,-1,Hydrochloric acid,C01327,HCL
hco3,CHO3,-1,Bicarbonate,C00288,HCO3
hco3[e],CHO3,-1,Bicarbonate,C00288,HCO3
hcys-L,C4H9NO2S,0,L-Homocysteine,C00155,L-ASPARTATE-SEMIALDEHYDE
hdACP,C16H28OSR,-1,,,
hdd2coa,C37H60N7O17P3S,-4,trans-Hexadec-2-enoyl-CoA,C05272,
hepdp,C35H57O7P2,-3,all-trans-Heptaprenyl diphosphate,C04216,ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE
hete,C20H32O3,0,"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",C04742,
hethmpp,C14H20N4O8P2S,-2,2-(alpha-Hydroxyethyl)thiamine diphosphate,C05125,
hexdp,C30H49O7P2,-3,all-trans-Hexaprenyl diphosphate,C01230,ALL-TRANS-HEXAPRENYL-DIPHOSPHATE
hgbam,C45H58N6O12,-4,"Hydrogenobyrinate a,c diamide",C06503,"CPD-688 [hydrogenobyrinate <i>a,c</i>-diamide]"
hgbrn,C45H54N4O14,-6,Hydrogenobyrinate,C06399,
hicit,C7H7O7,-3,Homoisocitrate,C05662,HOMO-I-CIT
his-L,C6H9N3O2,0,L-Histidine,C00135,HIS
his-L[e],C6H9N3O2,0,L-Histidine,C00135,L-ALPHA-ALANINE
hisp,C6H11N3O4P,-1,L-Histidinol phosphate,C01100,L-HISTIDINOL-P
histd,C6H12N3O,1,L-Histidinol,C00860,HISTIDINOL
histdal,C6H8N3O,-1,L-Histidinal,C01929,
hLkynr,C10H12N2O4,0,3-Hydroxy-L-kynurenine,C03227,
hmbil,C40H38N4O17,-8,Hydroxymethylbilane,C01024,HYDROXYMETHYLBILANE
hom-L,C4H9NO3,0,L-Homoserine,C00263,L-BETA-ASPARTYL-P
hpglu,C24H34N8O12,0,Tetrahydropteroyltri-L-glutamate,C04144,CPD-1301
hptppp,C35H57O7P2,-3,,,2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE22
hpyr,C3H3O4,-1,Hydroxypyruvate,C00168,OH-PYR
hqn,C6H6O2,0,p-Benzenediol,C00530,HYDROQUINONE
hx2coa,C27H40N7O17P3S,-4,trans-Hex-2-enoyl-CoA,C05271,
hxan,C5H4N4O,0,Hypoxanthine,C00262,HYPOXANTHINE
hxdcal,C16H32O,0,Hexadecanal,C00517,PALMITALDEHYDE
hxppp,C30H49O7P2,-3,,,2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE23
hydcarrbmetmucsa,C8H5O6,-3,2-Hydroxy-5-carboxymethylmuconate semialdehyde,C04642,
hydetecarb,C4H3O5,-1,2-Hydroxyethylenedicarboxylate,C03981,
hydisphtac,C8H5O5,-1,2-Hydroxyisophthalic acid,C14097,
iad,C10H10N2O,0,(Indol-3-yl)acetamide,C02693,CPD-237
iasp,C4H3NO4,-2,Iminoaspartate,C05840,IMINOASPARTATE
icit,C6H5O7,-3,Isocitrate,C00311,MAL
idp,C10H11N4O11P2,-3,IDP,C00104,
ile-L,C6H13NO2,0,L-Isoleucine,C00407,ILE
ile-L[e],C6H13NO2,0,L-Isoleucine,C00407,LEU
imacp,C6H7N2O5P,-2,3-(Imidazol-4-yl)-2-oxopropyl phosphate,C01267,IMIDAZOLE-ACETOL-P
imp,C10H11N4O8P,-2,IMP,C00130,IMP
ind3ac,C10H8NO2,-1,Indole-3-acetate,C00954,
ind3ac[e],C10H8NO2,-1,Indole-3-acetate,C00954,INDOLE_ACETATE_AUXIN
indole,C8H7N,0,Indole,C00463,INDOLE
inost,C6H12O6,0,myo-Inositol,C00137,MYO-INOSITOL
ins,C10H12N4O5,0,Inosine,C00294,INOSINE
ipdp,C5H9O7P2,-3,Isopentenyl diphosphate,C00129,DELTA3-ISOPENTENYL-PP
itp,C10H11N4O14P3,-4,ITP,C00081,
ketoglact,C6H10O6,0,3-Keto-beta-D-galactose,C05394,CPD-1242
ketolac,C12H20O11,0,3-Ketolactose,C05403,3-KETOLACTOSE
L2aadp,C6H10NO4,-1,L-2-Aminoadipate,C00956,CPD-468
L2aadp6sa,C6H11NO3,0,L-2-Aminoadipate 6-semialdehyde,C04076,ALLYSINE
lac6p,C12H21O14P,-2,Lactose 6-phosphate,C05396,LACTOSE-6P
lac-D,C3H5O3,-1,D-Lactate,C00256,D-LACTATE
lac-D[e],C3H5O3,-1,D-Lactate,C00256,FUM
lac-L,C3H5O3,-1,L-Lactate,C00186,L-LACTATE
lac-L[e],C3H5O3,-1,L-Lactate,C00186,L-ASPARTATE
lald-D,C3H6O2,0,(R)-Lactaldehyde,C00937,ACETONE
lald-L,C3H6O2,0,L-Lactaldehyde,C00424,AGMATHINE
lcts,C12H22O11,0,Lactose,C00243,
lcts[e],C12H22O11,0,Lactose,C00243,LACTOSE
Lcyst,C3H6NO5S,-1,L-Cysteate,C00506,
leu-L,C6H13NO2,0,L-Leucine,C00123,LEU
leu-L[e],C6H13NO2,0,L-Leucine,C00123,MET
Lfmkynr,C11H12N2O4,0,L-Formylkynurenine,C02700,
lgt-S,C13H20N3O8S,-1,(R)-S-Lactoylglutathione,C03451,
Lkynr,C10H12N2O3,0,L-Kynurenine,C00328,
lnmrn,C10H17N1O6,0,Linamarin,C01594,LINAMARIN
lotstra,C11H19N1O6,0,,,CPD-10277
lys-L,C6H15N2O2,1,L-Lysine,C00047,LYS
lys-L[e],C6H15N2O2,1,L-Lysine,C00047,PHE
malACP,C3HO3SR,-2,Malonyl-[acyl-carrier protein],C01209,
malcoa,C24H33N7O19P3S,-5,Malonyl-CoA,C00083,MALONYL-COA
mal-L,C4H4O5,-2,L-Malate,C00149,CPD-7598
malt,C12H22O11,0,Maltose,C00208,ALPHA-MALTOSE
malt[e],C12H22O11,0,Maltose,C00208,MALTOSE
malt6p,C12H21O14P,-2,Maltose 6-phosphate,C02995,
malttr,C18H32O16,0,Maltotriose,C01835,MALTOTRIOSE
maltttr,C24H42O21,0,Maltotetraose,C02052,MALTOTETRAOSE
man,C6H12O6,0,D-Mannose,C00159,
man[e],C6H12O6,0,D-Mannose,C00159,MANNOSE
man1p,C6H11O9P,-2,D-Mannose 1-phosphate,C00636,MANNOSE-1P
man6p,C6H11O9P,-2,D-Mannose 6-phosphate,C00275,MANNOSE-6P
mana,C6H11O7,-1,D-Mannonate,C00514,PALMITATE
manntri,C18H43O16,11,D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose,C05404,
melib,C12H22O11,0,Melibiose,C05402,
melt,C12H24O11,0,Melibiitol,C05399,
mercplac,C3H5O3S,-1,3-Mercaptolactate,C05823,
mercppyr,C3H3O3S,-1,Mercaptopyruvate,C00957,
met-D,C5H10NO2S,0,D-methionine,C00855,
met-D[e],C5H10NO2S,0,D-methionine,C00855,
methf,C20H20N7O6,-1,"5,10-Methenyltetrahydrofolate",C00445,D-MANNONATE
met-L,C5H11NO2S,0,L-Methionine,C00073,PRO
metsox-S-L,C5H11NO3S,0,L-Methionine S-oxide,C02989,O-PHOSPHO-L-HOMOSERINE
mhpglu,C25H36N8O12,0,5-Methyltetrahydropteroyltri-L-glutamate,C04489,CPD-1302
mlthf,C20H21N7O6,-2,"5,10-Methylenetetrahydrofolate",C00143,METHYLENE-THF
mmet,C6H14NO2S,1,S-Methyl-L-methionine,C03172,CPD-397
mnl[e],C6H14O6,0,Mannitol,C00392,
mnl1p,C6H13O9P,-2,D-Mannitol 1-phosphate,C00644,
mql8,C16H18O2(C5H8),0,Menaquinol,C05819,Menaquinols
mqn8,C16H16O2(C5H8),0,Menaquinone,C00828,Menaquinones
mrcptprn,C5H4N4S,0,6-Mercaptopurine,C02380,
msa,C3H3O3,-1,Malonate semialdehyde,C00222,MALONATE-S-ALD
mthgxl,C3H4O2,0,Methylglyoxal,C00546,LACTALD
muracglaadpund,C86H142N7O21P2,-1,MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol,C04851,
myrsACP,C14H26OSR,-1,Tetradecanoyl-[acp],C05761,
n2,N2,0,nitrogen,C00697,NITROGEN-MOLECULE
n2aap,C8H11N1O8P1,-3,N2-Acetyl-L-aminoadipyl-delta-phosphate,C12987,N2ACETYL-ALPHA-NP
n2aasa,C8H12N1O4,-1,N2-Acetyl-L-aminoadipate semialdehyde,C12988,N-ACETYL-AAA-SEMIALDEHYDE
n2al,C8H16N2O3,0,N2-Acetyl-L-lysine,C12989,N-ACETYL-L-LYSINE
n6all26d,C9H15N2O5,-1,"N6-Acetyl-LL-2,6-diaminoheptanedioate",C04390,
nac,C6H4NO2,-1,Nicotinate,C00253,NIACINE
Nactetyl6p,C11H19NO11P,-1,N-Acetylmuramic acid 6-phosphate,C16698,
nad,C21H26N7O14P2,-1,Nicotinamide adenine dinucleotide,C00003,NAD
nadh,C21H27N7O14P2,-2,Nicotinamide adenine dinucleotide - reduced,C00004,NADPH
nadp,C21H25N7O17P3,-3,Nicotinamide adenine dinucleotide phosphate,C00006,NADH
nadph,C21H26N7O17P3,-4,Nicotinamide adenine dinucleotide phosphate - reduced,C00005,CPD-504
nal2a6o,C9H11NO6,-2,N-Acetyl-L-2-amino-6-oxopimelate,C05539,
ncam,C6H6N2O,0,Nicotinamide,C00153,NIACINAMIDE
nh4,H4N,1,Ammonium,C00014,AMMONIA
