Abbreviation,OfficialName,"Equation (note [c] and [e] at the beginning refer to the compartment the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,ProteinClassDescription,Ref. (listed below),,,
PEPT_EC,ethanolamine phosphotransferase,[c]cmp + h + (0.02) pe_EC <==> (0.02) 12dgr_EC + cdpea,Cell Envelope Biosynthesis,EC-2.7.8.1,,,,
PAPA_EC,Phosphatidate phosphatase,[c]h2o + (0.02) pa_EC --> (0.02) 12dgr_EC + pi,Cell Envelope Biosynthesis,EC-3.1.3.4,,,,
ECAP_EC,ECA polymerization (Ecoli),[c]unagamuf --> eca_EC + h + udcpdp,Cell Envelope Biosynthesis,,,,,
AACPS1,acyl-[acyl-carrier-protein] synthetase (n-C14:0),[c]ACP + atp + ttdca --> amp + myrsACP + ppi,Cell Envelope Biosynthesis,EC-6.2.1.20,52,,,
AACPS2,acyl-[acyl-carrier-protein] synthetase  (n-C14:1),[c]ACP + atp + ttdcea --> amp + ppi + tdeACP,Cell Envelope Biosynthesis,EC-6.2.1.20,52,,,
AACPS3,acyl-[acyl-carrier-protein] synthetase  (n-C16:0),[c]ACP + atp + hdca --> amp + palmACP + ppi,Cell Envelope Biosynthesis,EC-6.2.1.20,52,,,
AACPS4,acyl-[acyl-carrier-protein] synthetase  (n-C16:1),[c]ACP + atp + hdcea --> amp + hdeACP + ppi,Cell Envelope Biosynthesis,EC-6.2.1.20,52,,,
AACPS5,acyl-[acyl-carrier-protein] synthetase  (n-C18:1),[c]ACP + atp + ocdcea --> amp + octeACP + ppi,Cell Envelope Biosynthesis,EC-6.2.1.20,52,,,
ALAALAr,D-alanine-D-alanine ligase (reversible),[c](2) ala-D + atp <==> adp + alaala + h + pi,Cell Envelope Biosynthesis,EC-6.3.2.4,,,,
DAGK_EC,Diacylglycerol kinase,[c](0.02) 12dgr_EC + atp --> adp + h + (0.02) pa_EC,Cell Envelope Biosynthesis,EC-2.7.1.107,,,,
ETHAAL,Ethanolamine ammonia-lyase,[c]etha --> acald + nh4,Cell Envelope Biosynthesis,EC-4.3.1.7,58,,,
GDMANE,GDP-4-dehydro-6-deoxy-D-mannose epimerase,[c]gdpddman --> gdpofuc,Cell Envelope Biosynthesis,,2,,,
GOFUCR,GDP-4-oxo-L-fucose reductase,[c]gdpofuc + h + nadph --> gdpfuc + nadp,Cell Envelope Biosynthesis,,2,,,
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),[c]g1p + h + utp --> ppi + udpg,Cell Envelope Biosynthesis,EC-2.7.7.9,,,,
UDPGALM,UDPgalactopyranose mutase,[c]udpgal --> udpgalfur,Cell Envelope Biosynthesis,EC-5.4.99.9,,,,
GF6PTA,glutamine-fructose-6-phosphate transaminase,[c]f6p + gln-L --> gam6p + glu-L,Cell Envelope Biosynthesis,EC-2.6.1.16,,,,
UAGDP,UDP-N-acetylglucosamine diphosphorylase,[c]acgam1p + h + utp --> ppi + uacgam,Cell Envelope Biosynthesis,EC-2.7.7.23,,,,
G1PACT,glucosamine-1-phosphate N-acetyltransferase,[c]accoa + gam1p --> acgam1p + coa + h,Cell Envelope Biosynthesis,EC-2.3.1.157,,,,
GPDDA1,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),[c]g3pc + h2o --> chol + glyc3p + h,Cell Envelope Biosynthesis,EC-3.1.4.46,65,,,
GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),[c]g3pe + h2o --> etha + glyc3p + h,Cell Envelope Biosynthesis,EC-3.1.4.46,65,,,
GPDDA3,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),[c]g3ps + h2o --> glyc3p + h + ser-L,Cell Envelope Biosynthesis,EC-3.1.4.46,65,,,
GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),[c]g3pg + h2o --> glyc + glyc3p + h,Cell Envelope Biosynthesis,EC-3.1.4.46,65,,,
GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),[c]g3pi + h2o --> glyc3p + h + inost,Cell Envelope Biosynthesis,EC-3.1.4.46,65,,,
GMAND,GDP-D-mannose dehydratase,[c]gdpmann --> gdpddman + h2o,Cell Envelope Biosynthesis,EC-4.2.1.47,"2,104",,,
S7PI,sedoheptulose 7-phosphate isomerase,[c]s7p --> gmhep7p,Cell Envelope Biosynthesis,,63,,,
GMHEPPA,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",[c]gmhep17bp + h2o --> gmhep1p + pi,Cell Envelope Biosynthesis,,63,,,
KDOPS,3-deoxy -D-manno-octulosonic -acid 8-phosphate,[c]ara5p + h2o + pep --> kdo8p + pi,Cell Envelope Biosynthesis,EC-4.1.2.16,,,,
KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,[c]ctp + kdo --> ckdo + ppi,Cell Envelope Biosynthesis,EC-2.7.7.38,,,,
MOAT,3-deoxy-D-manno-octulosonic acid transferase,[c]ckdo + lipidA --> cmp + h + kdolipid4,Cell Envelope Biosynthesis,,,,,
MOAT2,3-deoxy-D-manno-octulosonic acid transferase,[c]ckdo + kdolipid4 --> cmp + h + kdo2lipid4,Cell Envelope Biosynthesis,,,,,
UAGAAT,UDP-N-acetylglucosamine acyltransferase,[c]3hmrsACP + uacgam <==> ACP + u3aga,Cell Envelope Biosynthesis,EC-2.3.1.129,,,,
LPADSS,Lipid A disaccaride synthase,[c]lipidX + u23ga --> h + lipidAds + udp,Cell Envelope Biosynthesis,EC-2.4.1.182,,,,
UHGADA,UDP-3-O-acetylglucosamine deacetylase,[c]h2o + u3aga --> ac + u3hga,Cell Envelope Biosynthesis,,,,,
U23GAAT,UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase,[c]3hmrsACP + u3hga --> ACP + h + u23ga,Cell Envelope Biosynthesis,,128,,,
TDSK,Tetraacyldisaccharide 4'kinase,[c]atp + lipidAds --> adp + h + lipidA,Cell Envelope Biosynthesis,EC-2.7.1.130,,,,
EDTXS1,Endotoxin Synthesis (lauroyl transferase),[c]ddcaACP + kdo2lipid4 --> ACP + kdo2lipid4L,Cell Envelope Biosynthesis,,,,,
EDTXS3,Endotoxin Synthesis (palmitoleoyl ACP),[c]hdeACP + kdo2lipid4 --> ACP + kdo2lipid4p,Cell Envelope Biosynthesis,,17,,,
MAN1PT2,mannose-1-phosphate guanylyltransferase (GDP),[c]gdp + h + man1p --> gdpmann + pi,Cell Envelope Biosynthesis,EC-2.7.7.22,104,,,
PAPPT3,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",[c]udcpp + ugmda --> uagmda + ump,Cell Envelope Biosynthesis,EC-2.7.8.13,62,,,
PGAMT,phosphoglucosamine mutase,[c]gam1p <==> gam6p,Cell Envelope Biosynthesis,EC-5.4.2.10,,,,
EDTXS4,Endotoxin Synthesis (myristoyl transferase),[c]kdo2lipid4p + myrsACP --> ACP + lipa_cold,Cell Envelope Biosynthesis,,17,,,
EDTXS2,Endotoxin Synthesis (myristoyl transferase),[c]kdo2lipid4L + myrsACP --> ACP + lipa,Cell Envelope Biosynthesis,,,,,
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,[c]pep + uacgam --> pi + uaccg,Cell Envelope Biosynthesis,EC-2.5.1.7,,,,
UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,[c]h + nadph + uaccg --> nadp + uamr,Cell Envelope Biosynthesis,EC-1.1.1.158,,,,
UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,[c]ala-L + atp + uamr --> adp + h + pi + uama,Cell Envelope Biosynthesis,EC-6.3.2.8,,,,
UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,[c]atp + glu-D + uama --> adp + h + pi + uamag,Cell Envelope Biosynthesis,EC-6.3.2.9,,,,
UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",[c]26dap-M + atp + uamag --> adp + h + pi + ugmd,Cell Envelope Biosynthesis,EC-6.3.2.13,,,,
UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",[c]alaala + atp + ugmd --> adp + h + pi + ugmda,Cell Envelope Biosynthesis,EC-6.3.2.15,,,,
UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,[c]uacgam + uagmda --> h + uaagmda + udp,Cell Envelope Biosynthesis,,62,,,
GLUR,glutamate racemase,[c]glu-D <==> glu-L,Cell Envelope Biosynthesis,EC-5.1.1.3,,,,
PLIPA3,Phospholipase A (phosphatidylcholine),[c]h2o + (0.02) pc_EC --> (0.02) agpc_EC + h + (0.36) hdca + (0.07) hdcea + (0.5) ocdcea + (0.02) ttdca + (0.05) ttdcea,Cell Envelope Biosynthesis,,74,,,
PLIPA1,Phospholipase A (phosphatidylglycerol),[c]h2o + (0.02) pg_EC --> (0.02) agpg_EC + h + (0.36) hdca + (0.07) hdcea + (0.5) ocdcea + (0.02) ttdca + (0.05) ttdcea,Cell Envelope Biosynthesis,,96,,,
PLIPA2,Phosphlipase A (phosphatidylethanolamine),[c]h2o + (0.02) pe_EC --> (0.02) agpe_EC + h + (0.36) hdca + (0.07) hdcea + (0.5) ocdcea + (0.02) ttdca + (0.05) ttdcea,Cell Envelope Biosynthesis,,"74,96",,,
LPLIPA1,Lysophospholipase L (acyl-glycerophosphoglycerol),[c](0.02) agpg_EC + h2o --> g3pg + h + (0.36) hdca + (0.07) hdcea + (0.5) ocdcea + (0.02) ttdca + (0.05) ttdcea,Cell Envelope Biosynthesis,,57,,,
LPLIPA2,Lysophospholipase L (acyl-glycerophosphoethanolamine),[c](0.02) agpe_EC + h2o --> g3pe + h + (0.36) hdca + (0.07) hdcea + (0.5) ocdcea + (0.02) ttdca + (0.05) ttdcea,Cell Envelope Biosynthesis,,57,,,
LPLIPA3,Lysophospholipase L (acyl-glycerophosphocholinel),[c](0.02) agpc_EC + h2o --> g3pc + h + (0.36) hdca + (0.07) hdcea + (0.5) ocdcea + (0.02) ttdca + (0.05) ttdcea,Cell Envelope Biosynthesis,,57,,,
LPLIPA4,Lysophospholipase L (acyl transfer to phosphatidylglycerol),[c](0.02) agpe_EC + (0.02) pg_EC --> (0.02) apg_EC + g3pe,Cell Envelope Biosynthesis,,57,,,
LPLIPA5,Lysophospholipase L (acyl transfer to phosphatidylglycerol),[c](0.02) agpc_EC + (0.02) pg_EC --> (0.02) apg_EC + g3pc,Cell Envelope Biosynthesis,,57,,,
LPLIPA6,Lysophospholipase L (acyl transfer to phosphatidylglycerol),[c](0.02) agpg_EC + (0.02) pg_EC --> (0.02) apg_EC + g3pg,Cell Envelope Biosynthesis,,57,,,
AGMHE,ADP-D-glycero-D-manno-heptose epimerase,"[c]adphep-D,D --> adphep-L,D",Cell Envelope Biosynthesis,EC-5.1.3.20,63,,,
GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,"[c]atp + gmhep1p + h --> adphep-D,D + ppi",Cell Envelope Biosynthesis,,63,,,
GMHEPK,D-glycero-D-manno-heptose 7-phosphate kinase,[c]atp + gmhep7p --> adp + gmhep17bp + h,Cell Envelope Biosynthesis,,63,,,
LPSSYN_EC,Lipopolysaccharide synthesis (Ecoli),"[c](3) adphep-L,D + (2) cdpea + (3) ckdo + lipa + (2) udpg --> (3) adp + (2) cdp + (3) cmp + (10) h + lps_EC + (2) udp",Cell Envelope Biosynthesis,,,,,
G1PTT,glucose-1-phosphate thymidylyltransferase,[c]dttp + g1p + h --> dtdpglu + ppi,Cell Envelope Biosynthesis,EC-2.7.7.24,23,,,
TDPGDH,"dTDPglucose 4,6-dehydratase",[c]dtdpglu --> dtdp4d6dg + h2o,Cell Envelope Biosynthesis,EC-4.2.1.46,23,,,
TDPDRE,"dTDP-4-dehydrorhamnose 3,5-epimerase",[c]dtdp4d6dg --> dtdp4d6dm,Cell Envelope Biosynthesis,EC-5.1.3.13,,,,
TDPDRR,dTDP-4-dehydrorhamnose reductase,[c]dtdp4d6dm + h + nadph --> dtdprmn + nadp,Cell Envelope Biosynthesis,EC-1.1.1.133,,,,
MI1PP,myo-inositol 1-phosphatase,[c]h2o + mi1p-D --> inost + pi,Cell Envelope Biosynthesis,EC-3.1.3.25,70,,,
UDPGD,UDPglucose 6-dehydrogenase,[c]h2o + (2) nad + udpg --> (3) h + (2) nadh + udpglcur,Cell Envelope Biosynthesis,EC-1.1.1.22,58,,,
USHD,UDP-sugar hydrolase,[c]h2o + u23ga --> (2) h + lipidX + ump,Cell Envelope Biosynthesis,,,,,
ACGAMT,UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase,[c]uacgam + udcpp --> ump + unaga,Cell Envelope Biosynthesis,,23,,,
UAG2Ei,UDP-N-acetylglucosamine 2-epimerase,[c]uacgam --> uacmam,Cell Envelope Biosynthesis,EC-5.1.3.14,23,,,
UACMAMO,UDP-N-acetyl-D-mannosamine oxidoreductase,[c]h2o + (2) nad + uacmam --> (3) h + (2) nadh + uacmamu,Cell Envelope Biosynthesis,,23,,,
TDPADGAT,"dTDP-4-amino-4,6-dideoxy-D-glucose acetyltransferase",[c]accoa + dtdp4addg --> coa + dtdp4aaddg + h,Cell Envelope Biosynthesis,,23,,,
TDPAGTA,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase",[c]dtdp4d6dg + glu-L --> akg + dtdp4addg,Cell Envelope Biosynthesis,EC-2.6.1.33,23,,,
AADDGT,"dTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase",[c]dtdp4aaddg + unagamu --> dtdp + h + unagamuf,Cell Envelope Biosynthesis,,90,,,
ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,[c]uacmamu + unaga --> h + udp + unagamu,Cell Envelope Biosynthesis,,23,,,
ACONT,aconitase,[c]cit <==> icit,Citrate Cycle (TCA),EC-4.2.1.3,,,,
CITL,Citrate lyase,[c]cit --> ac + oaa,Citrate Cycle (TCA),EC-4.1.3.6,89,,,
FRD2,fumarate reductase,[c]fum + mql8 --> mqn8 + succ,Citrate Cycle (TCA),EC-1.3.99.1,,,,
FRD3,fumarate reductase,[c]2dmmql8 + fum --> 2dmmq8 + succ,Citrate Cycle (TCA),EC-1.3.99.1,,,,
FUM,fumarase,[c]fum + h2o <==> mal-L,Citrate Cycle (TCA),EC-4.2.1.2,,,,
CS,citrate synthase,[c]accoa + h2o + oaa --> cit + coa + h,Citrate Cycle (TCA),EC-4.1.3.7,,,,
ICDHyr,isocitrate dehydrogenase (NADP),[c]icit + nadp <==> akg + co2 + nadph,Citrate Cycle (TCA),EC-1.1.1.42,,,,
TEST_AKGDH,2-Oxogluterate dehydrogenase,[c]akg + coa + nad --> co2 + nadh + succoa,Citrate Cycle (TCA),EC-Undetermined,,,,
MDH,malate dehydrogenase,[c]mal-L + nad <==> h + nadh + oaa,Citrate Cycle (TCA),EC-1.1.1.37,,,,
MDH2,Malate dehydrogenase (ubiquinone 8 as acceptor),[c]mal-L + q8 --> oaa + q8h2,Citrate Cycle (TCA),EC-1.1.99.16,111,,,
MDH3,Malate dehydrogenase (menaquinone 8 as acceptor),[c]mal-L + mqn8 --> mql8 + oaa,Citrate Cycle (TCA),EC-1.1.99.16,111,,,
SUCD1i,succinate dehydrogenase,[c]fad + succ --> fadh2 + fum,Citrate Cycle (TCA),EC-1.3.99.1,,,,
SUCOAS,succinyl-CoA synthetase (ADP-forming),[c]atp + coa + succ <==> adp + pi + succoa,Citrate Cycle (TCA),EC-6.2.1.5,,,,
PMDPHT,pyrimidine phosphatase,[c]5aprbu + h2o --> 4r5au + pi,Cofactor and Prosthetic Group Biosynthesis,,,,,
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,[c]dhpmp + h2o --> dhnpt + pi,Cofactor and Prosthetic Group Biosynthesis,,,,,
NADPPPS,NADP phosphatase,[c]h2o + nadp --> nad + pi,Cofactor and Prosthetic Group Biosynthesis,,,,,
NMNN,NMN nucleosidase,[c]h2o + nmn --> h + ncam + r5p,Cofactor and Prosthetic Group Biosynthesis,EC-3.2.2.14,,,,
NADDPe,NAD diphosphatase (extracellular),[e]h2o + nad --> amp + (2) h + nmn,Cofactor and Prosthetic Group Biosynthesis,EC-3.6.1.22,,,,
PPCDC,phosphopantothenoylcysteine decarboxylase,[c]4ppcys + h --> co2 + pan4p,Cofactor and Prosthetic Group Biosynthesis,EC-4.1.1.36,,,,
DPCOAK,dephospho-CoA kinase,[c]atp + dpcoa --> adp + coa + h,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.24,,,,
HYPOE,hypothetical enyme,[c]h2o + pyam5p --> pi + pydam,Cofactor and Prosthetic Group Biosynthesis,,,,,
PYDXPP,Pyridoxal 5-phosphate phosphatase,[c]h2o + pydx5p --> pi + pydx,Cofactor and Prosthetic Group Biosynthesis,,,,,
PDXPP,Pyridoxine 5-phosphate phosphatase,[c]h2o + pdx5p --> pi + pydxn,Cofactor and Prosthetic Group Biosynthesis,,,,,
NMNDA,nicotinamide-nucleotide amidase,[c]h2o + nmn --> nh4 + nicrnt,Cofactor and Prosthetic Group Biosynthesis,EC-3.5.1.42,,,,
TMKr,thiamine kinase,[c]atp + thm <==> adp + h + thmmp,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.89,,,,
PPNCL2,phosphopantothenate-cysteine ligase,[c]4ppan + ctp + cys-L --> 4ppcys + cmp + h + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-6.3.2.5,,,,
ACPS1,acyl-carrier protein synthase,[c]apoACP + coa --> ACP + h + pap,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.8.7,,,,
AMAOTr,adenosylmethionine-8-amino-7-oxononanoate transaminase,[c]8aonn + amet <==> amob + dann,Cofactor and Prosthetic Group Biosynthesis,EC-2.6.1.62,,,,
BTS2,biotin synthase (ala-L producing),[c]cys-L + dtbt <==> ala-L + btn + (2) h,Cofactor and Prosthetic Group Biosynthesis,,80,,,
DBTSr,dethiobiotin synthase,[c]atp + co2 + dann <==> adp + dtbt + (3) h + pi,Cofactor and Prosthetic Group Biosynthesis,EC-6.3.3.3,,,,
AOXSr,8-amino-7-oxononanoate synthase,[c]ala-L + h + pmcoa <==> 8aonn + co2 + coa,Cofactor and Prosthetic Group Biosynthesis,EC-2.3.1.47,,,,
BSORx,Biotin sulfoxide reductase,[c]btnso + h + nadh --> btn + h2o + nad,Cofactor and Prosthetic Group Biosynthesis,,"58,83,85",,,
BSORy,Biotin sulfoxide reductase,[c]btnso + h + nadph --> btn + h2o + nadp,Cofactor and Prosthetic Group Biosynthesis,,"58,83,85",,,
CBIAT,Cobinamide adenyltransferase,[c]atp + cbi + h2o <==> adocbi + pi + ppi,Cofactor and Prosthetic Group Biosynthesis,,133,,,
CBLAT,cob(I)alamin adenosyltransferase,[c]atp + cbl1 + h2o <==> adocbl + pi + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.5.1.17,133,,,
PNTK,pantothenate kinase,[c]atp + pnto-R --> 4ppan + adp + h,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.33,,,,
PTPATi,pantetheine-phosphate adenylyltransferase,[c]atp + h + pan4p --> dpcoa + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.7.3,,,,
ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,[c]agdpcbi + rdmbzi --> adocbl + gmp + h,Cofactor and Prosthetic Group Biosynthesis,,67,,,
NNDMBRT,Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase,[c]dmbzid + nicrnt --> 5prdmbz + h + nac,Cofactor and Prosthetic Group Biosynthesis,,67,,,
ADOCBIK,Adenosyl cobinamide kinase,[c]adocbi + atp --> adocbip + adp + h,Cofactor and Prosthetic Group Biosynthesis,,67,,,
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,[c]adocbip + gtp + h --> agdpcbi + ppi,Cofactor and Prosthetic Group Biosynthesis,,67,,,
HEMEOS,Heme O synthase,[c]frdp + h2o + pheme --> hemeO + ppi,Cofactor and Prosthetic Group Biosynthesis,,,,,
SHCHD2,sirohydrochlorin dehydrogenase (NAD),[c]nad + shcl --> h + nadh + srch,Cofactor and Prosthetic Group Biosynthesis,,,,,
SHCHF,sirohydrochlorin ferrochetalase,[c]fe2 + srch --> (3) h + sheme,Cofactor and Prosthetic Group Biosynthesis,,,,,
DXPRIi,1-deoxy-D-xylulose reductoisomerase,[c]dxyl5p + h + nadph --> 2me4p + nadp,Cofactor and Prosthetic Group Biosynthesis,,"45,48,94",,,
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,[c]g3p + h + pyr --> co2 + dxyl5p,Cofactor and Prosthetic Group Biosynthesis,,94,,,
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",[c]23ddhb + nad <==> 23dhb + h + nadh,Cofactor and Prosthetic Group Biosynthesis,EC-1.3.1.28,,,,
ICHORT,isochorismatase,[c]h2o + ichor --> 23ddhb + pyr,Cofactor and Prosthetic Group Biosynthesis,EC-3.3.2.1,,,,
ENTCS,enterochelin synthase,[c](3) 23dhba + (3) seramp --> (6) amp + enter + (6) h,Cofactor and Prosthetic Group Biosynthesis,,,,,
DHBSr,"2,3-dihydroxybenzoate adenylate synthase",[c]23dhb + atp <==> 23dhba + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.7.58,"26,37",,,
SERASr,(L-seryl)adenylate synthase,[c]atp + h + ser-L <==> ppi + seramp,Cofactor and Prosthetic Group Biosynthesis,,26,,,
E4PD,Erythrose 4-phosphate dehydrogenase,[c]e4p + h2o + nad <==> 4per + (2) h + nadh,Cofactor and Prosthetic Group Biosynthesis,,,,,
DHFR,dihydrofolate reductase,[c]dhf + h + nadph <==> nadp + thf,Cofactor and Prosthetic Group Biosynthesis,EC-1.5.1.3,,,,
DHNPA2,dihydroneopterin aldolase,[c]dhnpt --> 6hmhpt + gcald,Cofactor and Prosthetic Group Biosynthesis,,,,,
DHFS,dihydrofolate synthase,[c]atp + dhpt + glu-L --> adp + dhf + pi,Cofactor and Prosthetic Group Biosynthesis,EC-6.3.2.12,,,,
GTPCI,GTP cyclohydrolase I,[c]gtp + h2o --> ahdt + for,Cofactor and Prosthetic Group Biosynthesis,EC-3.5.4.16,,,,
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,[c]6hmhpt + atp --> 6hmhptpp + amp + h,Cofactor and Prosthetic Group Biosynthesis,,,,,
DHPS2,dihydropteroate synthase,[c]4abz + 6hmhptpp --> dhpt + h + ppi,Cofactor and Prosthetic Group Biosynthesis,,,,,
MECDPDH,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",[c]2mecdp + h --> h2mb4p + h2o,Cofactor and Prosthetic Group Biosynthesis,,"45,48,94",,,
GLUTRS,Glutamyl-tRNA synthetase,[c]atp + glu-L + trnaglu --> amp + glutrna + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-6.1.1.17,,,,
ALATA_D2,D-alanine transaminase,[c]ala-D + pydx5p --> pyam5p + pyr,Cofactor and Prosthetic Group Biosynthesis,,98,,,
ALATA_L2,alanine transaminase,[c]ala-L + pydx5p --> pyam5p + pyr,Cofactor and Prosthetic Group Biosynthesis,,,,,
GTHOr,glutathione oxidoreductase,[c]gthox + h + nadph <==> (2) gthrd + nadp,Cofactor and Prosthetic Group Biosynthesis,EC-1.6.4.2,,,,
GLUCYS,gamma-glutamylcysteine synthetase,[c]atp + cys-L + glu-L --> adp + glucys + h + pi,Cofactor and Prosthetic Group Biosynthesis,EC-6.3.2.2,,,,
GTHS,glutathione synthetase,[c]atp + glucys + gly --> adp + gthrd + h + pi,Cofactor and Prosthetic Group Biosynthesis,EC-6.3.2.3,,,,
GLUTRR,glutamyl-tRNA reductase,[c]glutrna + h + nadph --> glu1sa + nadp + trnaglu,Cofactor and Prosthetic Group Biosynthesis,,,,,
PPBNGS,porphobilinogen synthase,[c](2) 5aop --> h + (2) h2o + ppbng,Cofactor and Prosthetic Group Biosynthesis,EC-4.2.1.24,,,,
HMBS,hydroxymethylbilane synthase,[c]h2o + (4) ppbng --> hmbil + (4) nh4,Cofactor and Prosthetic Group Biosynthesis,EC-4.3.1.8,,,,
UPP3S,uroporphyrinogen-III synthase,[c]hmbil --> h2o + uppg3,Cofactor and Prosthetic Group Biosynthesis,EC-4.2.1.75,,,,
UPPDC1,uroporphyrinogen decarboxylase (uroporphyrinogen III),[c](4) h + uppg3 --> (4) co2 + cpppg3,Cofactor and Prosthetic Group Biosynthesis,EC-4.1.1.37,,,,
CPPPGO,coproporphyrinogen oxidase (O2 required),[c]cpppg3 + (2) h + o2 --> (2) co2 + (2) h2o + pppg9,Cofactor and Prosthetic Group Biosynthesis,EC-1.3.3.3,,,,
PPPGO,protoporphyrinogen oxidase,[c](1.5) o2 + pppg9 --> (3) h2o + ppp9,Cofactor and Prosthetic Group Biosynthesis,EC-1.3.3.4,,,,
FCLT,Ferrochelatase,[c]fe2 + ppp9 --> (2) h + pheme,Cofactor and Prosthetic Group Biosynthesis,EC-4.99.1.1,,,,
G1SATi,glutamate-1-semialdehyde aminotransferase,[c]glu1sa --> 5aop,Cofactor and Prosthetic Group Biosynthesis,EC-5.4.3.8,,,,
UPP3MT,uroporphyrinogen methyltransferase,[c](2) amet + uppg3 --> (2) ahcys + h + shcl,Cofactor and Prosthetic Group Biosynthesis,EC-2.1.1.107,,,,
IPDDIi,isopentenyl-diphosphate D-isomerase,[c]ipdp --> dmpp,Cofactor and Prosthetic Group Biosynthesis,EC-5.3.3.2,,,,
DMATT,dimethylallyltranstransferase,[c]dmpp + ipdp --> grdp + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.5.1.1,,,,
GRTT,geranyltranstransferase,[c]grdp + ipdp --> frdp + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.5.1.10,,,,
OCTDPS,Octaprenyl pyrophosphate synthase,[c]frdp + (5) ipdp --> octdp + (5) ppi,Cofactor and Prosthetic Group Biosynthesis,,,,,
MEPCT,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,[c]2me4p + ctp + h --> 4c2me + ppi,Cofactor and Prosthetic Group Biosynthesis,,"45,48,94",,,
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,[c]4c2me + atp --> 2p4c2me + adp + h,Cofactor and Prosthetic Group Biosynthesis,,"45,48,94",,,
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",[c]2p4c2me --> 2mecdp + cmp,Cofactor and Prosthetic Group Biosynthesis,,"45,48,94",,,
NADDP,NAD diphosphatase,[c]h2o + nad --> amp + (2) h + nmn,Cofactor and Prosthetic Group Biosynthesis,EC-3.6.1.22,,,,
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),[c]h + h2mb4p + nadh --> dmpp + h2o + nad,Cofactor and Prosthetic Group Biosynthesis,,"1,48,94",,,
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),[c]h + h2mb4p + nadh --> h2o + ipdp + nad,Cofactor and Prosthetic Group Biosynthesis,,"1,48,94",,,
DHNAOT,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",[c]dhna + octdp --> 2dmmq8 + co2 + h + ppi,Cofactor and Prosthetic Group Biosynthesis,,,,,
NPHS,naphthoate synthase,[c]sbzcoa --> coa + dhna,Cofactor and Prosthetic Group Biosynthesis,EC-4.1.3.36,,,,
