Abbreviation,KEGG ID
3-Methoxytyramine,C05587
3-Methoxytyramine-betaxanthin,C17754
"3-Methyl-1-(2,4,6-trihydroxyphenyl)butan-1-one",C07350
3-Methyl-1-hydroxybutyl-TPP,C15974
"3-Methyl-19-nor-17alpha-pregna-1,3,5(10)-trien-17-ol",C15117
3-Methyl-beta-keto-L-tyrosyl-[pcp],C12464
"3-Methyl-cis,cis-muconate",C04112
"3-Methyl-quinolin-2,8-diol",C06344
3-Methyl-quinolin-2-ol,C06345
3-Methyl-vinylacetyl-CoA,C03466
3-Methyladenine,C00913
3-Methylamino-L-alanine,C08291
3-Methylbut-2-enal,C07330
3-Methylbutyraldehyde oxime,C17255
3-Methylcholanthrene,C14470
3-Methyldioxyindole,C05834
3-Methyleneoxindole,C02796
3-Methylgalangin,C11577
3-Methylguanine,C02230
3-Methylhistamine,C05127
3-Methylindolepyruvate,C05644
3-Methylmuconolactone,C04558
3-Methyloxindole,C02366
"3-Methylpyrrole-2,4-dicarboxylic acid",C12477
3-Methylsalicylaldehyde,C14087
3-Methylsalicylate,C14088
3-Methylthiopropanamine,C03354
3-Methylthiopropyl-desulfoglucosinolate,C17244
3-Methylxanthine,C16357
3-Nitroacrylate,C02231
3-Nitrofluoranthene,C14406
3-Nitrophenol,C14418
3-Nitropropanoate,C05669
"3-O-(3,6-Anhydro-alpha-D-galactopyranosyl)-D-galactose 4-O-sulfate",C04839
3-O-(Carboxymethyl)estrone,C15174
3-O-Acetylhamayne,C12165
3-O-L-Alanyl-1-O-phosphatidylglycerol,C04372
3-O-Methyl-myo-inositol,C03660
3-O-Methylgallate,C05616
3-O-Methylquercetin,C04443
3-O-Mycarosylerythronolide B,C06630
3-OH-VPA,C16651
3-OXOPIMELOYL-COA,C06715
3-Octanol,C17144
3-Octanone,C17145
3-Oxalomalate,C01990
3-Oxo acid,C01656
3-Oxo-5alpha-steroid,C02940
3-Oxo-5beta-cholanate,C03070
3-Oxo-5beta-steroid,C02797
3-Oxo-N-phenyl-N-(phenylmethyl)butanamide,C14921
3-Oxo-OPC4-CoA,C16338
3-Oxo-OPC6-CoA,C16334
3-Oxo-OPC8-CoA,C16330
3-Oxo-delta1-steroid,C02941
3-Oxo-delta4-steroid,C00619
3-Oxo-delta5-steroid,C01034
3-Oxo-hydroxysteroid,C02942
3-Oxoglycyrrhetinate,C02943
3-Oxohexanoate,C02122
3-Oxohexobarbital,C02517
3-Oxopentanoate,C02233
3-Oxopregn-4-ene-20beta-carboxaldehyde dioxime,C15106
3-Oxopristanoyl-CoA,C07297
3-Oxopropionyl-CoA,C05989
3-Oxosteroid,C01876
"3-Phenyl-5-ureido-1,2,4-triazole",C15383
3-Phenylcatechol,C02526
3-Phenylphenol,C14342
3-Phenylpropionaldoxim,C17236
3-Phenylpropyl acetate,C17663
3-Phosphatidyl-1'-(3'-O-L-lysyl)glycerol,C04482
3-Phospho-D-erythronate,C03356
3-Phosphoglycerol-glutathione,C03928
3-Polyprenyl-4-hydroxy-5-methoxybenzoate,C17559
3-Propylmalate,C02123
3-Seleninoalanine,C05705
3-Sulfinopyruvate,C05527
3-Sulfocatechol,C06336
3-Sulfolactate,C16069
3-Sulfomuconate,C06675
3-Vinylcatechol,C07085
"3-[(2,4-Dichlorobenzylidene)amino]-6H-dibenzo[b,d]pyran-6-one",C14950
"3-[(2,6-Dichlorobenzylidene)amino]-6H-dibenzo[b,d]pyran-6-one",C14949
"3-[(2-Chlorobenzylidene)amino]-6H-dibenzo[b,d]pyran-6-one",C14951
"3-[6-(Carboxymethylene)cyclohexa-2,4-dien-1-ylidene]-2-oxopropanate",C16214
3-aci-Nitropropanoate,C03071
3-alpha-D-Galactosyl-[lipopolysaccharide glucose],C04473
3-alpha-D-Mannosylheteroglycan,C04098
3-alpha-OH DHP,C13712
3-beta-D-Galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein,C04825
3-beta-D-Glucopyranuronosyloxy-5-methylisoxazole,C11107
3-epi-6-Deoxocathasterone,C16251
3-tert-Butyl-5-methylcatechol,C03929
3-tert-Butylphenol,C14188
311C90,C07218
33hmeoxobut,C04181
34a-Deoxy-rifamycin W,C14721
34dhbald,C16700
34dhbz,C00230
34dhcinm,C01481|C01197
34dhpac,C04043
34dhpha,C01161
34hpl,C03672
34hpp,C01179
35ccmp,C00941
35cdamp,C00968
35cgmp,C00942
35cimp,C00943
36dahx,C01142
3AStrmyn,C03580
3F-alpha-D-Galactosylraffinose,C03989
3R3haACP,C01271
3TC,C07065
"3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al",C05474
"3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate",C11637
"3alpha,12alpha-Dihydroxy-5beta-cholan-24-oylglycine",C04721
"3alpha,12alpha-Dihydroxy-5beta-pregnan-20-one",C15391
"3alpha,12alpha-Dihydroxy-5beta-pregnan-20-one diacetate",C15272
"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",C04643
"3alpha,17beta-Diacetoxyandrost-4-ene",C15423
"3alpha,20alpha,21-Trihydroxy-5beta-pregnane-11-one",C05483
"3alpha,21-Dihydroxy-D-homo-5beta-pregn-17a(20)-en-11-one",C14976
"3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA",C05450
"3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA",C05467
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA",C05460
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al",C01301
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate",C04722
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA",C04760
"3alpha,7alpha,12alpha-Trihydroxycoprostane",C05454
"3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate",C04661
"3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA",C05448
"3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate",C01292
"3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA",C05449
"3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA",C05447
"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al",C05445
"3alpha,7alpha-Dihydroxy-5beta-cholestanate",C04554
"3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C04644
3alpha-Ethynyl-3-hydroxy-5alpha-androstan-17-one,C15158
"3alpha-Hydroxy-5beta-pregn-16-ene-11,20-dione 3-acetate",C15333
3alpha-Hydroxy-5beta-pregnane-20-one,C05480
3alpha-Hydroxyglycyrrhetinate,C03930
3alpha-Hydroxysteroid,C03072
3amp,C01367
"3beta,13-Dihydroxy-16-(hydroxymethylene)-13,17-seco-5alpha- androstan-17-oic acid, delta-lactone",C15159
"3beta,17-Dihydroxy-5alpha-pregnane-11,20-dione 3-acetate",C15404
"3beta,17beta-Diacetoxy-5alpha-androstane",C15346
"3beta,17beta-Diacetoxyandrost-4-ene",C15324
"3beta,21-Dihydroxy-4,4,14-trimethyl-5alpha-pregn-8-en-20-one",C14991
"3beta,21-Dihydroxy-pregna-5,7,9(11)-trien-20-one diacetate",C14924
"3beta,4-Dimethyl-4-aza-5alpha-cholestane",C15336
"3beta,5alpha,6beta-Cholestanetriol",C05425
"3beta,5beta-Ketodiol",C16493
"3beta,7alpha-Dihydroxy-5-cholesten-26-oic acid",C17335
"3beta-(1-Pyrrolidinyl)-5alpha-pregnane-11,20-dione",C15013
3beta-(Acetyloxy)-5alpha-androst-16-ene-16-carboxaldehyde,C15001
3beta-(Acetyloxy)-5beta-methyl-6beta-chloroestr-9-en-17-one,C14957
3beta-Acetoxy-19-hydroxyandrost-5-en-17-one,C15304
3beta-Acetoxy-5alpha-pregnan-20-one,C15417
3beta-Chloro-5-androsten-17beta-ol,C15396
"3beta-Chloro-N,N-bis(2-chloroethyl)-androst-5-en-17beta-amine",C14914
3beta-Cyclopentyl-5alpha-androstan-17beta-ol,C14979
3beta-Fluoro-5alpha-androstan-17beta-ol,C15330
3beta-Fluoro-5beta-pregnan-20-one,C14981
3beta-Fluoroandrost-5-en-17beta-ol,C15093
3beta-Hydroxy-16-phosphonopregn-5-en-20-one monoethyl ester,C15173
3beta-Hydroxy-16beta-(hydroxymethyl)-5alpha-androstan-17-one,C14961
3beta-Hydroxy-17-oxoandrost-5-en-19-al acetate,C15135
3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde,C11509
3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate,C04840
3beta-Hydroxy-5-cholestenoate,C17333
"3beta-Hydroxy-5alpha-androstane-7,17-dione",C15332
3beta-Hydroxy-5alpha-cholest-7-ene-4alpha-carboxylate,C04746
3beta-Hydroxy-5alpha-pregnane-20-one,C15484
3beta-Hydroxy-5beta-pregnane-20-one,C11825
"3beta-Hydroxy-9beta-pimara-7,15-diene-19,6beta-olide",C18016
3beta-Hydroxy-delta5-steroid,C03836
"3beta-Hydroxylanostane-7,11-dione acetate",C15379
3beta-Hydroxysteroid,C02945
3beta-Hydroxysterol,C02799
3beta-Hydroxysterol ester,C03587
3beta-Methoxyandrost-5-en-16beta-ol,C15367
3c2hmp,C04411
3c3hmp,C02504
3c4mop,C04236
3cmp,C05822
3cmuc,C01163
3ddgc,C03926
3dgulnp,C14899
3dh5hpb,C05200
3dhguln,C00618
3dhq,C00944
3dhsk,C02637
3dmubq9,C03226
3dsphgn,C02934
3g12dgr_SA,C04046
3gmp,C06193
3hacoa,C00640
3hadpcoa,C14145
3hanthrn,C00632
3hbACP,C04618
3hbycoa,C01144
3hc18acp,C16220
3hc4coa,C05116
3hcinnm,C12621
3hdccoa,C05264
3hddACP,C05757
3hddcoa,C05262
3hdeACP,C04619
3hhACP,C05747
3hhcoa,C05268
3hhdcoa,C05258
3hhpp,C06368
3hibutcoa,C04047
3hmbcoa,C04405
3hmp,C06001|C01188
3hocACP,C04620
3hocoa,C05266
3hpaACP,C04633
3hph5mb,C05313
3hpppn,C11457
3htdACP,C04688
3htdcoa,C05260
3hykyn,C02794
3ig3p,C03506
3mb2coa,C03069
3mbald,C07329
3mbutdhla,C05119
3mbzalc,C07216
3mbzald,C07209
3mcat,C02923
3mgcoa,C03231
3mob,C00141
3mop,C03465|C00671
3mtp,C08276
3no4hyben,C03885
3oacoa,C00264
3odcoa,C05265
3oddcoa,C05263
3ohcoa,C05269
3ohdcoa,C05259
3ohodcoa,C16216
3oocoa,C05267
3ophb,C05809
3ophb_5,C13425
3otdcoa,C05261
3oxadp,C00846
3oxdd,C02367
3oxddACP,C05756
3oxdeACP,C05753
3oxhACP,C05746
3oxhdACP,C05762
3oxoACP_delete,C00685
3oxocACP,C05750
3oxocdacp,C16219
3oxtdACP,C05759
3pg,C00597|C00197
3php,C03232
3pop,C02798
3psme,C01269
3sala,C00606
3spyr,C05528
3uib,C05100
3ump,C01368
"4',5,6,7-Tetramethoxyflavanone",C15118
"4',6-Dihydroxy-5,7-dimethoxyflavanone",C14969
"4',6-Dihydroxy-5,7-dimethoxyflavone",C15100
"4',6-Dihydroxyflavone",C14344
4'-Cinnamoylmussatioside,C10439
4'-Demethyldeoxypodophyllotoxin,C10552
4'-Demethylpodophyllotoxin,C10553
4'-Hydroxy-3'-prenylacetophenone,C10702
"4'-Hydroxy-5,6,7-trimethoxyflavanone",C15019
"4'-Hydroxy-5,6,7-trimethoxyflavone",C14986
4'-Hydroxyacetophenone,C10700
4'-Hydroxyflavanone,C14241
4'-Hydroxyropivacaine,C16574
4'-Methoxy-3-morpholino-propiophenone,C15032
4'-Methylcapillarisin,C17784
4'-O-Methylisoflavone,C03074
4'-O-Methylnorbelladine,C16702
4'-O-beta-D-Glucosyl-cis-p-coumarate,C06739
4'-Prenyloxyresveratrol,C10283
"4,21-Dehydrocorynantheine aldehyde",C11679
"4,21-Dehydrogeissoschizine",C03677
"4,4',6,6'-Tetranitro-2,2'-azoxytoluene",C16411
"4,4'-(2-Ethyl-1-butenylidene)diphenol",C15168
"4,4'-(Butane-1,1-diyl)diphenol",C15069
"4,4'-(Diphenylethenylidene)bis[N,N-dimethylbenzenamine]",C15021
"4,4'-Biphenyldiol",C14297
"4,4'-Diaminostilbene dihydrochloride",C15452
"4,4'-Diaponeurosporene",C16145
"4,4'-Diaponeurosporenic acid",C16146
"4,4'-Dichlorobiphenyl",C14248
"4,4'-Dihydroxy-3,5-dimethoxydihydrostilbene",C10256
"4,4'-Dihydroxy-alpha-methylstilbene",C13632
"4,4'-Dihydroxybenzophenone",C14220
"4,4'-Dihydroxybibenzyl",C14341
"4,4'-Dihydroxystilbene",C14233
"4,4'-Dinitrodibenzyl",C14589
"4,4'-Dinitrostilbene",C15296
"4,4'-Methylenebis(2,6-di-tert-butylphenol)",C14287
"4,4'-Methylenedianiline",C14288
"4,4'-Oxydianiline",C14759
"4,4'-Thiobiphenyl",C14569
"4,4'-isobutylidenediphenol",C15278
"4,4-Bis(4-hydroxyphenyl)heptane",C15211
"4,4-Bis[4-(acetyloxy)phenyl]3-hexanone",C15145
"4,4-Difluoro-17beta-hydroxy-17alpha-methyl-androst-5-en-3-one",C14910
"4,4-Difluoro-17beta-hydroxyandrost-5-en-3-one propionate",C15112
"4,4-Difluoropregn-5-ene-3,20-dione",C15152
"4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol",C04530
"4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",C11455
"4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol",C15915
"4,4-Disubstituted cyclohexenone",C12262
"4,4a,5,6,7,8-Hexahydro-6-(p-hydroxyphenyl)-2(3H)-naphthalenone",C14898
"4,5,6,7-Tetrachloro-2-trifluoromethylbenzimidazole",C11322
"4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene",C14855
"4,5-Dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one",C06066
"4,5-Dihydroxyphthalate",C03233
"4,5-Dioxopentanoate",C02800
"4,5-Leukotriene A4",C02645
"4,5-Methylenedioxy-6-hydroxyaurone",C08722
"4,5-seco-Dopa",C17758
"4,5alpha-Dihydro-11beta-hydroxy-17-methyltestosterone",C15349
"4,5alpha-Dihydro-2-(hydroxymethylene)testosterone",C14628
"4,5alpha-Dihydro-4alpha-methyltestosterone",C15252
"4,5alpha-Dihydro-6beta-methyltestosterone propionate",C15331
"4,5alpha-Dihydrocortisone",C03588
"4,5beta-Dihydrocortisone",C05469
"4,6,7-Trichloro-2-dibenzofuranol",C15238
"4,6-Diamino-5-formamidopyrimidine",C06502
"4,7-Dihydroxy-2-methoxy-9,10-dihydrophenanthrene",C10257
"4,8,12-Trimethyltridecanoyl-CoA",C07296
"4,8-Dichloro-1-dibenzofuranol",C15247
"4,9(11)-Androstadien-17alpha-methyl-17beta-ol-3-one",C14684
"4-(1,2-Epoxyethyl)-8,9-epoxy-enediyne",C11445
4-(1-Ethyl-2-phenylbutyl)phenol,C15082
"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate",C05645
"4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate",C05652
"4-(2-Aminophenyl)-2,4-dioxobutanoate",C01252
4-(2-Pyrazinylethenyl)phenol,C15042
"4-(3,5-Diphenylcyclohexyl)phenol",C14276
4-(3-Hydroxy-2-naphthyl)-2-oxobut-3-enoic acid,C16210
4-(3-Methylbut-2-enyl)-L-tryptophan,C04290
4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate,C06118
4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate,C04733
4-(4-Hydroxyphenyl)-2-butanol,C17690
4-(Dimethylamino)phenylazoxybenzene,C04291
4-(Hydroxyphosphinyl)-2-oxobutyric acid,C17948
"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde",C04796
4-(N-Acetyl-beta-D-glucosaminyl)-beta-D-mannosyl-R,C15544
4-(Trimethylammonio)but-2-enoate,C04114
4-(beta-Acetylaminoethyl)imidazole,C05135
4-(beta-D-Glucosyloxy)benzoate,C03993
4-AP,C13728
4-Acetamido-2-amino-6-nitrotoluene,C16420
4-Acetamidobutanoyl-CoA,C03357
4-Amino-1-piperidinecarboxylic acid,C16837
"4-Amino-2,6-dinitrotoluene",C16394
4-Amino-2-hydroxylamino-6-nitrotoluene,C16403
4-Amino-6-hydroxylamino-3-methyl-2-nitrophenol,C16414
4-Aminobiphenyl,C10998
4-Aminobutanoyl-CoA,C02801
4-Aminobutyryl-[acp],C18007
"4-Aminoestra-1,3,5(10)-triene-3,17beta-diol",C15005
4-Aminosalicylate,C02518
"4-Androsten-11beta-ol-3,17-dione",C05284
"4-Androsten-16alpha-ol-3,17-dione",C05140
4-Androstenediol,C14210
4-Anisic acid,C02519
"4-Benzyloxy-2'-hydroxy-3',4',5',6'-tetramethoxychalcone",C15080
4-Benzyloxybenzyl alcohol,C11834
"4-Bromo-1,2-benzoquinone",C14846
4-Bromocatechol,C14843
4-Bromophenol,C14453
"4-Bromophenol-2,3-epoxide",C14845
4-Bromophenyl acetate,C03076
4-Bromophenylthiourea,C14644
4-Butoxyphenol,C14351
4-CPA,C07088
"4-Carboxy-2,5-dihydro-2-oxofuran-5-acetate",C04553
"4-Carboxy-2-hydroxy-cis,cis-muconate",C04324
4-Carboxy-2-hydroxymuconate semialdehyde,C04484
4-Carboxy-2-oxo-3-hexenedioate,C05364
4-Carboxy-4'-sulfoazobenzene,C06673
4-Carboxy-4-hydroxy-2-oxoadipate,C04115
4-Carboxymethylenebut-2-en-4-olide,C04431
4-Chloro-17alpha-methyltestosterone,C15358
4-Chloro-2-methylphenol,C03359
4-Chloro-4'-biphenylol,C14195
4-Chloro-[2-(4-Pyridinyl)-1-butenyl]phenol,C15045
4-Chloro-alpha-[4-[2-(diethylamino)ethoxy]phenyl]-alpha- phenylbenzeneethanol,C15067
4-Chloroacetanilide,C14494
4-Chloroacetophenone,C06647
4-Chloroaniline,C14450
4-Chlorobenzaldehyde,C06648
4-Chlorobenzoate,C02370
4-Chlorobenzoyl-CoA,C06387
4-Chlorobenzyl cyanide,C03679
4-Chlorobiphenyl,C06584
4-Chlorocatechol,C02375
4-Chlorochalcone,C14585
4-Chloronitrobenzene,C14456
4-Chlorophenylacetate,C03077
4-Chloroprogesterone,C14676
4-Chlorotoluene,C14451
4-Coumaroylshikimate,C02947
4-Cyanopyridine,C02234
4-Dedimethyl-6-dehydro-anhydrotetracycline,C06654
4-Dedimethylamine-4-oxo-anhydro-7-Cl-tetracycline,C06626
4-Dedimethylamino-4-oxo-anhydrotetracycline,C06627
4-Demethylpremithramycinone,C12382
4-Deoxy-alpha-L-erythro-hex-4-enopyranuronoside,C04662
"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine",C01310
"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate",C04864
"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 6-sulfate",C04865
"4-Dihydroxyethyl-8,9-epoxy-enediyne",C11446
4-Dimethylallylglycinol,C15510
4-Dodecylphenol,C14245
4-Ene-VPA,C16648
"4-Ethyl-3-(p-hydroxyphenyl)-2,2-dimethyl-2H-1-benzopyran-7-ol diacetate",C15050
4-Ethyl-7-hydroxy-3-(p-methoxyphenyl)coumarin,C14720
4-Fluoro-L-threonine,C15533
4-Fluoroaniline,C11014
4-Fluorobenzoate,C02371
4-Fluorobenzoyl-CoA,C02802
4-Fluorocatechol,C16473
"4-Fluorocyclohexadiene-cis,cis-1,2-diol",C16483
"4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate",C16480
4-Fluoromuconolactone,C16476
4-Fluorophenol,C16485
4-Fluorotestosterone propionate,C15088
4-Formylsalicylic acid,C14100
4-Glutathionyl cyclophosphamide,C11583
4-Guanidino-1-butanol,C17146
4-HYDROXY-ETCETERA-HYDROXYPROPIONYL-COA,C07303
4-Heptyloxybenzoic acid,C14274
4-Heptyloxyphenol,C14236
4-Hexyloxyphenol,C14305
4-Hydroxy-2-butynal,C02648
4-Hydroxy-2-ketopimelate,C05601
4-Hydroxy-2-quinolone,C16716
4-Hydroxy-3-nitrosobenzamide,C12114
4-Hydroxy-3-polyprenylbenzoate,C05848
4-Hydroxy-4-methyl-2-oxoadipate,C04049
4-Hydroxy-4-methylglutamate,C06034
"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one",C16595
4-Hydroxy-6-methylpretetramide,C06628
4-Hydroxy-9-fluorenone,C07723
4-Hydroxy-enol-phenylpyruvate,C05350
4-Hydroxyacid,C01991
4-Hydroxyaminoquinoline N-oxide,C04050
4-Hydroxybenzo[a]pyrene,C14560
4-Hydroxybenzophenone,C14230
4-Hydroxybenzoylformate,C03590
4-Hydroxybenzyl cyanide,C03766
4-Hydroxychalcone,C14232|C14231
4-Hydroxycyclophosphamide,C07643
4-Hydroxyglucobrassicin,C08422
4-Hydroxyhomopterocarpin,C10461
4-Hydroxyhydratropate,C03080
4-Hydroxyifosfamide,C16553
"4-Hydroxylamino-2,6-dinitrotoluene",C16392
4-Hydroxymandelate,C11527
4-Hydroxymandelonitrile,C00650
4-Hydroxymethylcatechol,C14110
4-Hydroxymethylphenylhydrazine,C03994
4-Hydroxymethylsalicylaldehyde,C14108
4-Hydroxymethylsalicylate,C14109
4-Hydroxymuconic semialdehyde,C06603
4-Hydroxymyxol,C15932
4-Hydroxypheoxyacetate,C03235
4-Hydroxyphthalate,C06680
4-Isopropenyl-2-oxy-cyclohexanecarboxyl-CoA,C11935
4-Keto-VPA,C16655
4-Ketocyclophosphamide,C07644
4-Ketoifosfamide,C16554
4-Ketomyxol,C15928
4-Methoxycinnamaldehyde,C10475
4-Methoxydibenzyl,C14666
4-Methoxyglucobrassicin,C08423
4-Methyl-19-nortestosterone,C15395
"4-Methyl-2,4-bis-(p-hydroxyphenyl)pent-1-ene",C13625
"4-Methyl-4-aza-5-pregnene-3,20-dione",C15133
4-Methyl-L-glutamate,C06234
4-Methylaminobutanal,C10974
4-Methylaminobutyrate,C15987
4-Methylburimamide,C11801
4-Methylene-2-oxoglutarate,C06035
4-Methylene-L-glutamate,C00651
4-Methylene-L-glutamine,C01109
4-Methylhistamine,C17929
4-Methylmuconolactone,C04559
4-Methyltestosterone,C15412
4-Methylthiobutanaldoxime,C17241
4-Methylthiobutyl-desulfoglucosinolate,C17248
4-Methylthiobutylthiohydroximate,C17243
4-Methylumbelliferyl acetate,C03837
4-Methylumbelliferyl glucuronide,C11584
4-Methylumbelliferyl sulfate,C11585
4-N-(N-Acetyl-D-glucosaminyl)-protein,C04375
4-Nitroanilide,C02125
4-Nitrocatechol,C02235
4-Nitroestradiol,C14988
4-Nitroestrone,C15362
4-Nitrophenol-alpha-D-galactopyranoside,C04452
4-Nitrophenyl phosphate,C03360
4-Nitroquinoline 1-oxide,C03474
4-Nitrotoluene,C14394
4-O-Methyl-myo-inositol,C06352
4-O-Methylphloracetophenone,C10680
4-O-beta-D-Glucosyl-4-hydroxycinnamate,C04415
4-O-beta-D-Glucosyl-sinapate,C02919
4-O-methylglucuronoxylan,C04459
4-OH-Estradiol,C14209
4-OH-VPA,C16649
4-Octylphenol,C14132
4-Oxalomesaconate,C04434
4-Oxocyclohexanecarboxylate,C03767
4-Oxoglutaramate,C05572
4-Oxoproline,C01877
4-Oxoretinol,C16683
4-PIOL,C13710
4-Phenethylphenol,C14340
4-Phenylphenol,C14224
"4-Pregnene-16alpha,21-diol-3,20-dione",C15365
4-Prenyldihydropinosylvin,C10281
4-Prenylresveratrol,C10285
4-Propylphenol,C14311
4-Pyridoxate,C00847
4-Pyridoxolactone,C00971
4-Substituted anilide,C03083
4-Substituted aniline,C03084
4-Substituted phenylacetate,C03768
4-Substituted phenylacetonitrile,C04116
4-Sulfobenzaldehyde,C06679
4-Sulfobenzoate,C02236
4-Sulfobenzyl alcohol,C06678
4-Sulfocatechol,C06674
4-Sulfolactone,C06676
4-Toluenesulfonamide,C14412
4-Trimethylammoniobutanal,C01149
4-Vinylphenol,C05627
"4-alpha-D-(1,4-alpha-D-Glucanosyl)n trehalose",C06400
4-hydroxydihydrocinnamaldehyde,C16706
4-n-Butylphenol,C14464
4-n-Hexylphenol,C14465
4-o-Galloylbergenin,C17514
4-p-Coumaroylquinic acid,C10441
4-sec-Butylphenol,C14139
4-t-Amylphenol,C14226
4-t-Butylbenzoic acid,C14535
4-t-Octylphenol,C14205
46dh25dohxn,C04349
"4Z,7Z,10Z-Octadecatrienenitrile",C13832
4aabutn,C02946
4abut,C00334
4abutn,C00555
4abz,C00568
4adcho,C11355
4ahmmp,C01279
4alpha-Methyl-5alpha-cholest-7-en-3-one,C04453
4alpha-Methylcholesta-8-en-3beta-ol,C05110
4alpha-Methylfecosterol,C15776
4alpha-Methylzymosterol-4-carboxylate,C15808
4ampm,C04556
"4beta,5beta-Epoxypregnane-3,20-dione",C15154
"4beta,5beta-Epoxytestosterone",C15286
4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol,C04814
4c2me,C11435
4fumacac,C01061
4gubut,C01035
4gudbd,C03078
4h2oglt,C01127|C05946
4h2opntn,C03589
4hbald,C00633
4hbcoa,C02949
4hbutcoa,C11062
4hbz,C00156
4hdxbutn,C00989
4hglu,C05947|C03079
4hglusa,C05938
4hoxoh,C06762
4hoxpacd,C03765
4hphac,C00642|C13636
4hpro-LT,C01157
4hthb,C15522
4hthr,C06056
4izp,C03680
4mbzalc,C06757
4mbzald,C06758
4mcat,C06730
4mhetz,C04294
4mlacac,C01036
4mop,C00233
4mpetz,C04327
4mzym,C05103
4pasp,C03082
4per,C03393
4ppan,C03492
4ppcys,C04352
4r5au,C04732
5''-Phosphoribostamycin,C18004
5'-Acylphosphoadenosine,C03361
5'-Acylphosphoinosine,C03085
5'-Acylphosphouridine,C03086
5'-Benzoylphosphoadenosine,C06433
5'-Butyrylphosphoinosine,C06435
5'-Butyrylphosphouridine,C06436
5'-Dehydroadenosine,C11500
5'-Demethoxydeoxypodophyllotoxin,C10551
5'-Deoxy-5-fluorocytidine,C16635
5'-Dephospho-DNA,C02374
5'-Dephospho-RNA 3'-mononucleotide,C04239
5'-Guanosyl-methylene-triphosphate,C06500
5'-Hydroxyoligoribonucleotide,C01199
5'-Hydroxystreptomycin,C17571
5'-Methoxyhydnocarpin-D,C11162
5'-Nucleotide,C01992
5'-O-beta-D-Glucosylpyridoxine,C03996
5'-Oxoinosine,C01993
5'-Phospho-DNA,C02128
5'-Phospho-RNA 3'-mononucleotide,C04117
5'-Phosphodinucleotide,C03236
5'-Phosphoguanylyl(3'->5')guanosine,C18076
5'-Phosphomonoester,C01016
5'-Phosphomonoester oligonucleotides,C04328
5'-Phosphomononucleotide,C00171
5'-Phosphomononucleotides,C01150
5'-Phosphonucleoside 3'-diphosphate,C04292
5'-Phosphooligonucleotide,C00351
5'-Phosphooligoribonucleotide,C00444
5'-Phosphopolynucleotide,C03475
5'-Prenylhomoeriodictyol,C09831
5'-Ribonucleotide,C02520
5(S)-HPETE,C05356
"5,10-Methenyltetrahydromethanopterin",C04330
"5,10-Methylenetetrahydromethanopterin",C04377
"5,12-Dihydroxanthommatin",C03476
"5,6,7,4'-Tetramethoxyisoflavone",C15076
"5,6,7,8-Tetrahydro-2-naphthoic acid",C14111
"5,6,7,8-Tetrahydro-2-naphthol",C14309
"5,6,7-Trimethoxycoumarin",C09313
"5,6-24(S),25-Diepoxycholesterol",C15633
"5,6-DHET",C14772
